T,magnetization,energy,specific_heat,susceptibility,magnetization_err,energy_err
1.200000,0.996948,-1.988264,0.068054,0.005940,0.000111,0.000412
1.261538,0.995712,-1.983590,0.092249,0.008509,0.000137,0.000505
1.323077,0.993872,-1.977021,0.122939,0.012722,0.000171,0.000611
1.384615,0.992316,-1.971410,0.128740,0.014523,0.000187,0.000655
1.446154,0.989031,-1.959743,0.162465,0.019898,0.000224,0.000768
1.507692,0.985785,-1.949090,0.216190,0.030534,0.000283,0.000924
1.569231,0.981608,-1.934500,0.250102,0.039080,0.000326,0.001034
1.630769,0.977382,-1.920174,0.270026,0.042762,0.000348,0.001117
1.692308,0.970014,-1.898792,0.374688,0.078679,0.000481,0.001365
1.753846,0.963736,-1.878785,0.413979,0.086195,0.000512,0.001487
1.815385,0.954854,-1.853361,0.420428,0.111669,0.000593,0.001551
1.876923,0.942417,-1.821417,0.538938,0.190867,0.000789,0.001816
1.938462,0.931299,-1.791826,0.569304,0.254821,0.000926,0.001927
2.000000,0.914212,-1.750549,0.736950,0.333282,0.001076,0.002262
2.061538,0.889472,-1.698069,0.880336,0.510924,0.001352,0.002549
2.123077,0.856462,-1.642222,1.034851,1.164014,0.002071,0.002846
2.184615,0.777535,-1.558104,1.544787,7.457762,0.005318,0.003578
2.246154,0.716611,-1.468868,1.483981,4.913215,0.004377,0.003605
2.307692,0.533903,-1.346563,1.864664,14.362353,0.007586,0.004152
2.369231,0.494628,-1.276840,1.572304,10.943829,0.006709,0.003914
2.430769,0.391590,-1.198687,1.344207,9.319486,0.006271,0.003713
2.492308,0.254778,-1.112174,0.779347,6.930772,0.005476,0.002899
2.553846,0.234622,-1.063076,0.814697,5.706842,0.005030,0.003037
2.615385,0.208677,-1.026833,0.802139,4.679600,0.004610,0.003086
2.676923,0.164375,-0.977701,0.532089,3.113370,0.003804,0.002573
2.738462,0.154448,-0.937604,0.627435,2.872932,0.003696,0.002858
2.800000,0.137538,-0.909257,0.534731,1.972742,0.003097,0.002698
2.861538,0.122139,-0.873965,0.491362,1.801471,0.002992,0.002643
2.923077,0.135649,-0.851958,0.446086,1.874258,0.003084,0.002572
2.984615,0.110868,-0.822132,0.390043,1.165200,0.002457,0.002456
3.046154,0.102576,-0.795521,0.414964,1.099611,0.002411,0.002586
3.107692,0.099781,-0.780799,0.357755,0.972948,0.002291,0.002449
3.169231,0.098049,-0.755972,0.346819,0.942634,0.002277,0.002459
3.230769,0.089542,-0.733771,0.334432,0.844349,0.002176,0.002462
3.292308,0.094538,-0.721403,0.302157,0.892694,0.002259,0.002385
3.353846,0.090917,-0.699986,0.269792,0.819934,0.002185,0.002295
3.415385,0.086490,-0.680125,0.277929,0.695348,0.002031,0.002372
3.476923,0.080764,-0.662146,0.233686,0.642595,0.001969,0.002215
3.538462,0.084215,-0.651194,0.253181,0.694125,0.002065,0.002346
3.600000,0.079875,-0.639194,0.244933,0.554336,0.001861,0.002348
