t_sweeps,domain_size,domain_size_err,entropy_production_rate,entropy_production_rate_err
1.00000000,0.89105402,0.00203931,0.29672241,0.00156541
2.00000000,1.15443573,0.00487839,0.13729858,0.00145179
3.00000000,1.40879676,0.00776601,0.08425903,0.00132295
4.00000000,1.62420936,0.00834532,0.06002808,0.00121204
5.00000000,1.79477769,0.01158667,0.03902181,0.00148376
7.00000000,2.14065049,0.02301258,0.03004456,0.00102650
10.00000000,2.58713831,0.02734477,0.01778836,0.00056290
13.00000000,2.91319447,0.03456132,0.01010810,0.00058202
17.00000000,3.31178217,0.04921104,0.00684611,0.00041198
22.00000000,3.75270948,0.06662594,0.00434570,0.00028673
29.00000000,4.28209112,0.08002108,0.00317819,0.00018641
39.00000000,4.95113005,0.10511093,0.00239868,0.00016974
51.00000000,5.81041867,0.13713791,0.00183275,0.00013646
68.00000000,6.68349675,0.19067987,0.00102683,0.00008410
90.00000000,7.73667999,0.24475552,0.00057382,0.00006801
120.00000000,9.06086166,0.34150950,0.00048625,0.00005368
159.00000000,10.24226009,0.44992312,0.00026188,0.00003354
210.00000000,11.68975649,0.56208021,0.00015857,0.00003086
279.00000000,13.50802015,0.66003222,0.00012841,0.00002489
369.00000000,15.78429427,1.10995655,0.00008285,0.00001827
489.00000000,17.39653433,0.91907036,0.00006239,0.00001381
649.00000000,20.29964670,1.32967100,0.00003688,0.00001096
860.00000000,23.45753589,2.39001750,0.00002758,0.00000696
1139.00000000,26.22790633,1.69411638,0.00002377,0.00000645
1509.00000000,26.61567299,1.69456383,0.00001815,0.00000386
2000.00000000,29.96248798,2.82518400,0.00000976,0.00000214
