t_sweeps,domain_size_x,domain_size_x_err,domain_size_y,domain_size_y_err,entropy_production_rate,entropy_production_rate_err
1.00000000,0.75745661,0.00242472,0.59430198,0.00157624,0.14935882,0.00137599
2.00000000,0.82457967,0.00268863,0.60803772,0.00153790,0.05929339,0.00162502
3.00000000,0.87232017,0.00219745,0.61852585,0.00239091,0.03763852,0.00143344
4.00000000,0.90676223,0.00263508,0.62813544,0.00205080,0.02621981,0.00124677
5.00000000,0.93890637,0.00272850,0.63643184,0.00219871,0.02255768,0.00111665
7.00000000,0.98342393,0.00333092,0.64929392,0.00220924,0.01486467,0.00053850
9.00000000,1.02097174,0.00437110,0.66281553,0.00250102,0.01101181,0.00048207
13.00000000,1.09303592,0.00557015,0.68429875,0.00218330,0.00845277,0.00024551
17.00000000,1.14839962,0.00478634,0.69706818,0.00259293,0.00588102,0.00034497
24.00000000,1.21786209,0.00591580,0.72273343,0.00249278,0.00466122,0.00014846
33.00000000,1.27763725,0.00561237,0.74794454,0.00251510,0.00304612,0.00013894
45.00000000,1.33684178,0.00782875,0.77185395,0.00244765,0.00212352,0.00009882
62.00000000,1.40117742,0.00759802,0.80249437,0.00285615,0.00158049,0.00010108
85.00000000,1.46854342,0.00755772,0.83524670,0.00352104,0.00113723,0.00006584
117.00000000,1.54438790,0.00817421,0.87152023,0.00421436,0.00087619,0.00005892
161.00000000,1.62608919,0.00849523,0.90370092,0.00384956,0.00059099,0.00004489
221.00000000,1.70907230,0.01225423,0.94766514,0.00513225,0.00040330,0.00003434
304.00000000,1.79014928,0.00959710,0.98551679,0.00534233,0.00026580,0.00002556
418.00000000,1.88717687,0.01131854,1.03248905,0.00670886,0.00018962,0.00000767
574.00000000,2.00597832,0.01504578,1.09354581,0.00657284,0.00016742,0.00001481
788.00000000,2.16823081,0.02006582,1.16321399,0.00877593,0.00011949,0.00000489
1083.00000000,2.32289163,0.02188430,1.23114691,0.01096778,0.00007815,0.00000444
1487.00000000,2.46847460,0.02900199,1.30676309,0.01051549,0.00004850,0.00000449
2043.00000000,2.70149964,0.03660697,1.39193286,0.01212649,0.00004617,0.00000307
2807.00000000,2.94429433,0.03797412,1.46720714,0.01304311,0.00002974,0.00000277
3857.00000000,3.16783731,0.04502761,1.56452920,0.01525044,0.00001872,0.00000187
5298.00000000,3.41828116,0.04507192,1.65947830,0.01299109,0.00001171,0.00000186
7279.00000000,3.70093864,0.04575723,1.75482308,0.01405380,0.00000920,0.00000100
10000.00000000,4.06217465,0.06710787,1.87360294,0.01899084,0.00000649,0.00000077
