composition,L,reference_L,sweep,n_small,n_reference,resolved_small,resolved_reference,mean_small,mean_reference,difference_sites,ratio,ratio_low,ratio_high,status
0.5,32,128,1,16,16,True,True,0.6713337610672889,0.6686719381657377,0.0026618229015512584,1.0039807605936821,0.9857030641978008,1.021964255574567,resolved
0.5,32,128,2,16,16,True,True,0.7104556379433279,0.7078054451360727,0.002650192807255203,1.0037442390779372,0.9872958582467753,1.0215131959456791,resolved
0.5,32,128,3,16,16,True,True,0.734834515126362,0.7348719314685198,-3.741634215781442e-05,0.9999490845403728,0.9832274266303669,1.0188627484170232,resolved
0.5,32,128,4,16,16,True,True,0.754798364799893,0.7584285073176493,-0.003630142517756285,0.9952135995908236,0.976606878227443,1.0151817375933199,resolved
0.5,32,128,5,16,16,True,True,0.7692885270691093,0.7763385225079495,-0.0070499954388402175,0.9909189158666695,0.9748971617948485,1.0080807301388277,resolved
0.5,32,128,6,16,16,True,True,0.7897283264036205,0.7919444067687962,-0.002216080365175732,0.9972017223100071,0.9796947175859809,1.0141464943061964,resolved
0.5,32,128,7,16,16,True,True,0.8089742571069742,0.8072764158289341,0.0016978412780401797,1.0021031721536133,0.9837977439931727,1.0197549244767137,resolved
0.5,32,128,8,16,16,True,True,0.8196837047956274,0.8198564501736161,-0.00017274537798872558,0.9997892980192421,0.9831098415284645,1.0157779312902842,resolved
0.5,32,128,10,16,16,True,True,0.8485922023490288,0.8424424503923401,0.006149751956688654,1.0072999074937696,0.9888036335563402,1.0253987305289132,resolved
0.5,32,128,12,16,16,True,True,0.8652054694024185,0.8590448284686794,0.006160640933739137,1.0071715011016609,0.9934683891364681,1.0210938639402904,resolved
0.5,32,128,14,16,16,True,True,0.8792429293450086,0.8760260603811286,0.0032168689638799597,1.003672115601767,0.9864178067546684,1.020656447058862,resolved
0.5,32,128,16,16,16,True,True,0.896121666065684,0.8909407596621481,0.0051809064035358565,1.005815096399339,0.9906487699007601,1.0228594914458993,resolved
0.5,32,128,20,16,16,True,True,0.9158981466646652,0.9190584310644376,-0.0031602843997724506,0.9965613890336523,0.9801817188356222,1.0138134780867183,resolved
