c,L,t,n,length,standard_error
0.5,32,1,8,0.6635264696675975,0.0033320739730363148
0.5,32,2,8,0.7031785066992638,0.003731267183076988
0.5,32,3,8,0.7380472895827944,0.004161653926625035
0.5,32,4,8,0.7580068123230119,0.005492306729221296
0.5,32,5,8,0.7760209165216958,0.0038948133937938933
0.5,32,6,8,0.7872410715642371,0.004495574276640527
0.5,32,7,8,0.8032612268765452,0.005710658417028049
0.5,32,8,8,0.8226747927560586,0.003828472049540973
0.5,32,10,8,0.8403300963006501,0.006103704626367209
0.5,32,12,8,0.8592396866058915,0.009436370760130444
0.5,32,15,8,0.8736214712500985,0.00995800720718755
0.5,32,18,8,0.9054945559814789,0.01275277930867997
0.5,32,22,8,0.914897775237613,0.007684103671016855
0.5,32,27,8,0.9570902207447239,0.010363886782782042
0.5,32,33,8,0.9796143569890803,0.007965120077621488
0.5,32,40,8,1.025094024973239,0.009409921235981535
0.5,32,48,8,1.037525432349331,0.013952663734356724
0.5,32,58,8,1.0603700028949234,0.01570654146911021
0.5,32,71,8,1.0913028667632294,0.02059281720533569
0.5,32,86,8,1.127121469218557,0.022888853314182233
0.5,32,105,8,1.1588145830427972,0.020599817189764974
0.5,32,127,8,1.2072733246863498,0.017360212812898585
0.5,32,154,8,1.2331948938871786,0.015571530692940668
0.5,32,187,8,1.2949227938460561,0.02470746908504444
0.5,32,227,8,1.3327958556547428,0.028101172856574045
0.5,32,276,8,1.386130304279456,0.025281680436832633
0.5,32,334,8,1.4253997627203354,0.029813917695715272
0.5,32,406,8,1.4941764451553423,0.025648734322038715
0.5,32,493,8,1.5213262145119395,0.025074583449907706
0.5,32,598,8,1.5413003763210134,0.03222533667971067
0.5,32,726,8,1.6350547322934381,0.019698120938381438
0.5,32,881,8,1.7085951085128912,0.026087434580410546
0.5,32,1069,8,1.7606084512721618,0.023270751468523095
0.5,32,1298,8,1.8316052825717657,0.03930100915817651
0.5,32,1576,8,1.8964713956895056,0.025547022504240045
0.5,32,1912,8,2.0260733516479656,0.06961265184211878
0.5,32,2321,8,2.115233367958655,0.07304339747751158
0.5,32,2818,8,2.2272330692483133,0.051260355004179754
0.5,32,3420,8,2.30557747543602,0.059207396706305836
0.5,32,4151,8,2.3814695409728626,0.04632621694596369
0.5,32,5039,8,2.5834959202942764,0.08532791133409441
0.5,32,6116,8,2.675264624267756,0.0815110554148479
0.5,32,7423,8,2.8235443465347405,0.06328126288925653
0.5,32,9010,8,2.880150961076967,0.04497609952729505
0.5,32,10937,8,2.920064332552168,0.0741498222095208
0.5,32,13275,8,3.087434389898715,0.060981507467346936
0.5,32,16113,8,3.2484614018904083,0.0798130580003747
0.5,32,19557,8,3.3290518687814705,0.08398959152661899
0.5,32,23739,8,3.692064502678814,0.20621496347257198
0.5,32,28814,8,4.150616054339462,0.3045678574178957
0.5,32,34974,8,4.4994767791536985,0.42889294453561855
0.5,32,42451,8,nan,nan
0.5,32,51526,8,nan,nan
0.5,32,62542,8,nan,nan
0.5,32,75913,8,nan,nan
0.5,32,92142,8,nan,nan
0.5,32,111841,8,nan,nan
0.5,32,135751,8,nan,nan
0.5,32,164773,8,nan,nan
0.5,32,200000,8,nan,nan
0.5,64,1,8,0.6703253134184144,0.00401043692350267
0.5,64,2,8,0.7091327533650577,0.00454821576687132
0.5,64,3,8,0.7391483113513095,0.004604691929380987
0.5,64,4,8,0.7563787479421292,0.003694957687508599
0.5,64,5,8,0.7741275880466689,0.0032776851398951456
0.5,64,6,8,0.7924710567231003,0.004755869063140436
0.5,64,7,8,0.8056594964278084,0.004276267266946687
0.5,64,8,8,0.8155510183785011,0.0039326033457369736
0.5,64,10,8,0.8384899760356932,0.003869187619710976
0.5,64,12,8,0.8562202395106586,0.003019838718799729
0.5,64,15,8,0.8823818252561936,0.005709333544063175
0.5,64,18,8,0.9007612594161452,0.004961092719911528
0.5,64,22,8,0.9163650382349192,0.004731838237256746
0.5,64,27,8,0.9513397154259732,0.005770234938212267
0.5,64,33,8,0.9767709033988676,0.007500001189410248
0.5,64,40,8,1.00731575865926,0.005900515250313204
