c,L,n,t_min,t_max,n_points,alpha,bootstrap_low,bootstrap_high,max_length_over_L
0.5,32,8,2,20000,47,0.17464506599089447,0.17062884407849443,0.17799641720307932,0.14060864934855308
0.5,32,8,2,200000,50,0.18232323346730422,0.17815366515202202,0.18622873439262982,0.14060864934855308
0.5,32,8,100,20000,28,0.20762594809882273,0.19793921437550405,0.21579218239551648,0.14060864934855308
0.5,32,8,100,200000,31,0.21918074291820305,0.2048151525728279,0.2328490012607278,0.14060864934855308
0.5,32,8,1000,20000,16,0.22412093643312878,0.20445365044728583,0.2416264517814128,0.14060864934855308
0.5,32,8,1000,200000,19,0.24684237021656458,0.21227284036469984,0.2869788874919687,0.14060864934855308
0.5,64,8,2,20000,47,0.17369645220119528,0.17083375145402746,0.17646254851724757,0.10711475012106261
0.5,64,8,2,200000,59,0.1981966180234324,0.19659776290311964,0.1995669660440669,0.10711475012106261
0.5,64,8,100,20000,28,0.2037733657327938,0.201585005221261,0.2055174967711236,0.10711475012106261
0.5,64,8,100,200000,40,0.23361915762486732,0.22984407050594308,0.23713976348931903,0.10711475012106261
0.5,64,8,1000,20000,16,0.23151774235018335,0.21837596301497536,0.24445992407008724,0.10711475012106261
0.5,64,8,1000,200000,28,0.262518601871009,0.2554593849961138,0.26834060182675507,0.10711475012106261
0.5,96,8,2,20000,47,0.1735092900606229,0.17079761961593223,0.17650971410848296,0.06961872197988399
0.5,96,8,2,200000,59,0.19582068343606435,0.1933123019917928,0.1980535643628837,0.06961872197988399
0.5,96,8,100,20000,28,0.20773314620590513,0.20137127068459246,0.21465996344890384,0.06961872197988399
0.5,96,8,100,200000,40,0.23105494423819953,0.22695103593865149,0.23451342717407234,0.06961872197988399
0.5,96,8,1000,20000,16,0.24239684653166893,0.23096078031130088,0.25594274162742353,0.06961872197988399
0.5,96,8,1000,200000,28,0.25757641370729134,0.252052146208955,0.26302115349057226,0.06961872197988399
0.5,128,8,2,20000,47,0.17409321326404206,0.17286499188648594,0.1754887678607936,0.05289618674871967
0.5,128,8,2,200000,59,0.19707322835498012,0.1954374057663879,0.1986695801947885,0.05289618674871967
0.5,128,8,100,20000,28,0.20866843801065393,0.20642493820033514,0.21112458531197992,0.05289618674871967
0.5,128,8,100,200000,40,0.23290598619899094,0.2301235563328148,0.23545395166162675,0.05289618674871967
0.5,128,8,1000,20000,16,0.23643434764753696,0.23035908015389156,0.24325777202725743,0.05289618674871967
0.5,128,8,1000,200000,28,0.25774540669922497,0.2526454252248233,0.26281110542047564,0.05289618674871967
0.15,32,8,2,20000,47,0.17301484125126934,0.1674118356408174,0.17861300151316697,0.13433437836475862
0.15,32,8,2,200000,59,0.18954069987189526,0.18418209612787959,0.1946206837132805,0.13433437836475862
0.15,32,8,100,20000,28,0.2258004362196468,0.2118588436528983,0.24016819397556885,0.13433437836475862
0.15,32,8,100,200000,40,0.22471255368090107,0.21454423066599826,0.23604572483402572,0.13433437836475862
0.15,32,8,1000,20000,16,0.2796748937127978,0.2446589135250342,0.31938819710172367,0.13433437836475862
0.15,32,8,1000,200000,28,0.2340531096597941,0.21966744735299532,0.25309543006908575,0.13433437836475862
0.15,64,8,2,20000,47,0.17239005971380694,0.1678801628698579,0.17704420520913422,0.09724858694344662
0.15,64,8,2,200000,59,0.1972781148047488,0.1934765368075834,0.20081733111577416,0.09724858694344662
0.15,64,8,100,20000,28,0.21699779870146038,0.20611283195312236,0.22879136594917493,0.09724858694344662
0.15,64,8,100,200000,40,0.23891273005444086,0.2330214325311581,0.24404670620036686,0.09724858694344662
0.15,64,8,1000,20000,16,0.24547290542562683,0.22290591558076772,0.27029977533169053,0.09724858694344662
0.15,64,8,1000,200000,28,0.2632969442875218,0.25446721017463875,0.27054153067809944,0.09724858694344662
0.15,96,8,2,20000,47,0.16863434663004187,0.16727912865242686,0.1697673603084115,0.05800001774523622
0.15,96,8,2,200000,59,0.19499715142870025,0.19314803291997412,0.19679972411913368,0.05800001774523622
0.15,96,8,100,20000,28,0.21129326332906842,0.20600905996492686,0.2167607343996834,0.05800001774523622
0.15,96,8,100,200000,40,0.23676984132291604,0.23235062175046925,0.24136285274519106,0.05800001774523622
0.15,96,8,1000,20000,16,0.21500392907126287,0.20418465824055954,0.22656207480383886,0.05800001774523622
0.15,96,8,1000,200000,28,0.2566373064701681,0.24901603621059107,0.2633446999655919,0.05800001774523622
0.15,128,8,2,20000,47,0.17130543763167652,0.16929106505331795,0.17321515065755172,0.04444332971918504
0.15,128,8,2,200000,59,0.1963094939241836,0.1949177848137987,0.19785541091594502,0.04444332971918504
0.15,128,8,100,20000,28,0.21235847608964867,0.2070769255426096,0.2174614220106271,0.04444332971918504
0.15,128,8,100,200000,40,0.23619050358472332,0.23250491072510918,0.2403050612023957,0.04444332971918504
0.15,128,8,1000,20000,16,0.23522889545213926,0.22535062692430005,0.24634360307595005,0.04444332971918504
0.15,128,8,1000,200000,28,0.26037317015856276,0.25195439456686053,0.2683711641041376,0.04444332971918504
