c,L,n,estimator,t_min,t_max,points,used_t_min,used_t_max,alpha,low,high,delta_vs_threshold,delta_low,delta_high,unresolved_values
0.15,32,8,threshold_05,100,20000,19,105,13275,0.22080999650867605,0.2091784548610214,0.23252073939427922,0.0,0.0,0.0,0
0.15,32,8,threshold_05,100,200000,29,105,200000,0.22209251417521367,0.21312465873819136,0.23098010057080878,0.0,0.0,0.0,0
0.15,32,8,threshold_05,1000,20000,7,1298,13275,0.2793275710969682,0.23174709592202944,0.3292448501405212,0.0,0.0,0.0,0
0.15,32,8,threshold_05,1000,200000,17,1298,200000,0.2233529673903964,0.2074543741904716,0.23976882185317872,0.0,0.0,0.0,0
0.15,32,8,positive_lobe,100,20000,19,105,13275,0.21276047579036608,0.19931053324291315,0.22686096319298849,-0.008049520718309972,-0.016184262541776368,0.0011382192373629147,12
0.15,32,8,positive_lobe,100,200000,29,105,200000,0.20809284488636998,0.19804227617815462,0.21803781918529325,-0.013999669288843691,-0.016933823989954626,-0.01079487239908239,12
0.15,32,8,positive_lobe,1000,20000,7,1298,13275,0.250781958666971,0.19744966318410737,0.31082305514986824,-0.028545612429997202,-0.06366732680705803,0.0005182214195630506,12
0.15,32,8,positive_lobe,1000,200000,17,1298,200000,0.19896397410554614,0.18202604093110772,0.21540930940550204,-0.024388993284850252,-0.02943765580617755,-0.019777908954421927,12
0.15,32,8,spectral_moment,100,20000,19,105,13275,0.12757640640950152,0.11961884381645095,0.13630486485582827,-0.09323359009917453,-0.09776641428438844,-0.0887667057719503,0
0.15,32,8,spectral_moment,100,200000,29,105,200000,0.1310572405261617,0.1267189517528197,0.1357142738125922,-0.09103527364905198,-0.0962038526839306,-0.08578536027836531,0
0.15,32,8,spectral_moment,1000,20000,7,1298,13275,0.1629439449876507,0.13472478604017352,0.19087720014426138,-0.11638362610931752,-0.13877832236951332,-0.09629030100341195,0
0.15,32,8,spectral_moment,1000,200000,17,1298,200000,0.13505239270360545,0.12628380672340808,0.14486685854906933,-0.08830057468679095,-0.0976029562411928,-0.07843791991472765,0
0.15,32,8,inverse_interface_proxy,100,20000,19,105,13275,0.16723027856856684,0.15670573348389458,0.178906207945999,-0.05357971794010921,-0.05817940710620673,-0.049569245111299176,0
0.15,32,8,inverse_interface_proxy,100,200000,29,105,200000,0.16743806645342088,0.16164521355768816,0.17433119662751437,-0.05465444772179279,-0.0602407866264024,-0.048842912118441474,0
0.15,32,8,inverse_interface_proxy,1000,20000,7,1298,13275,0.20831982720196987,0.17073093011894908,0.24862980302946777,-0.07100774389499834,-0.08377467113221763,-0.05818549304417774,0
0.15,32,8,inverse_interface_proxy,1000,200000,17,1298,200000,0.16855784203495983,0.15585187879401918,0.18077884794055457,-0.05479512535543657,-0.06364706300084552,-0.04355390539307603,0
0.15,64,8,threshold_05,100,20000,28,105,19557,0.21699779870146038,0.2055680507545093,0.22821767240382015,0.0,0.0,0.0,0
0.15,64,8,threshold_05,100,200000,36,105,92142,0.22746696261715313,0.21920085088095817,0.23545101802598542,0.0,0.0,0.0,0
0.15,64,8,threshold_05,1000,20000,16,1069,19557,0.24547290542562683,0.22063398513835947,0.26890498424898485,0.0,0.0,0.0,0
0.15,64,8,threshold_05,1000,200000,24,1069,92142,0.2470076161416049,0.23441146034435026,0.26295321143921624,0.0,0.0,0.0,0
0.15,64,8,positive_lobe,100,20000,28,105,19557,0.20867901589106452,0.19737869111943154,0.21973680984307,-0.008318782810395858,-0.009826070371564235,-0.006843031559102699,4
0.15,64,8,positive_lobe,100,200000,36,105,92142,0.21813269284521927,0.21043046651272523,0.22609273339727448,-0.009334269771933856,-0.011123979330688902,-0.007215479572037816,4
0.15,64,8,positive_lobe,1000,20000,16,1069,19557,0.24237189762770514,0.21939209551327124,0.26400659246106173,-0.00310100779792169,-0.0072218811601356585,0.0009515457172492317,4
0.15,64,8,positive_lobe,1000,200000,24,1069,92142,0.23830375567653062,0.22633220431882103,0.25256000238168086,-0.008703860465074292,-0.012790368122171183,-0.002677436225150621,4
0.15,64,8,spectral_moment,100,20000,28,105,19557,0.12686139702767235,0.12005574739702718,0.13366943915698284,-0.09013640167378803,-0.09462329052141376,-0.08542793966189571,0
0.15,64,8,spectral_moment,100,200000,36,105,92142,0.13461042317043895,0.12932486575441843,0.1394944432916528,-0.09285653944671418,-0.09600706797271297,-0.08973255523282771,0
0.15,64,8,spectral_moment,1000,20000,16,1069,19557,0.14525629427528036,0.13049710364145317,0.15909806910346416,-0.10021661115034647,-0.1098376033457699,-0.0903929048630419,0
0.15,64,8,spectral_moment,1000,200000,24,1069,92142,0.1481362840090543,0.14014107085236807,0.15764673469750518,-0.09887133213255062,-0.10521407385910911,-0.09403298536369259,0
0.15,64,8,inverse_interface_proxy,100,20000,28,105,19557,0.16484657823495621,0.1561080786060576,0.17333171322125368,-0.05215122046650417,-0.05529516131153037,-0.04907343681561651,0
0.15,64,8,inverse_interface_proxy,100,200000,36,105,92142,0.17082756070893357,0.164660533382743,0.17646050726163745,-0.05663940190821956,-0.059059850058499015,-0.05414622039870407,0
0.15,64,8,inverse_interface_proxy,1000,20000,16,1069,19557,0.18077582853517382,0.1615273189797241,0.19851313544513538,-0.06469707689045301,-0.07167705304481822,-0.057802160209238784,0
0.15,64,8,inverse_interface_proxy,1000,200000,24,1069,92142,0.1816193457199726,0.1720911509552742,0.1932713983888584,-0.06538827042163231,-0.06985245848669541,-0.0615027777821498,0
0.15,96,8,threshold_05,100,20000,28,105,19557,0.21129326332906842,0.2058982887115804,0.21749222702874618,0.0,0.0,0.0,0
0.15,96,8,threshold_05,100,200000,38,105,135751,0.23322326799546375,0.2284278310372069,0.23854472606068283,0.0,0.0,0.0,0
0.15,96,8,threshold_05,1000,20000,16,1069,19557,0.21500392907126287,0.2032408112105568,0.22620316919780764,0.0,0.0,0.0,0
0.15,96,8,threshold_05,1000,200000,26,1069,135751,0.252800025046519,0.2441354041205389,0.2606456694227218,0.0,0.0,0.0,0
0.15,96,8,positive_lobe,100,20000,28,105,19557,0.19989624306018014,0.19407294522434046,0.20630798248502363,-0.01139702026888828,-0.012400014074795351,-0.010496456304661849,2
