file,seed,c,L,t,condition,crop_id,pixel_size_sites,width_sites,phase_fraction,length,length_x,length_y,resolved
c0_L128_rep000.npz,1089588965,0.5,128,1,full,full,1,128,0.5,0.6676092504613027,0.6704058066644671,0.6648126942581384,True
c0_L128_rep000.npz,1089588965,0.5,128,1,bin2,full,2,128,0.638671875,1.0601436627980525,1.0636658660487972,1.0566214595473078,True
c0_L128_rep000.npz,1089588965,0.5,128,1,bin4,full,4,128,0.560546875,1.9683004207799992,2.0357797707971255,1.900821070762873,True
c0_L128_rep000.npz,1089588965,0.5,128,1,blur1,full,1,128,0.498779296875,1.2410300108823398,1.2338188372476617,1.248241184517018,True
c0_L128_rep000.npz,1089588965,0.5,128,1,blur2,full,1,128,0.4947509765625,2.271489568674429,2.261403836787676,2.281575300561182,True
c0_L128_rep000.npz,1089588965,0.5,128,1,blur1_threshold_minus02,full,1,128,0.67034912109375,1.1910629391635577,1.1835039548957584,1.1986219234313569,True
c0_L128_rep000.npz,1089588965,0.5,128,1,blur1_threshold_plus02,full,1,128,0.33197021484375,1.2164033991046135,1.2370236661954408,1.1957831320137864,True
c0_L128_rep000.npz,1089588965,0.5,128,1,crop96,0:0,1,96,0.5004340277777778,0.6660906294170537,0.6635610971889213,0.6686201616451859,True
c0_L128_rep000.npz,1089588965,0.5,128,1,crop96,0:32,1,96,0.4988064236111111,0.6705843660158233,0.6703838396135758,0.6707848924180706,True
c0_L128_rep000.npz,1089588965,0.5,128,1,crop96,32:0,1,96,0.5017361111111112,0.6629144873228743,0.6578080248123559,0.6680209498333927,True
c0_L128_rep000.npz,1089588965,0.5,128,1,crop96,32:32,1,96,0.5045572916666666,0.6621587900513035,0.6640942487481464,0.6602233313544608,True
c0_L128_rep000.npz,1089588965,0.5,128,1,crop64,0:0,1,64,0.499267578125,0.6660362057952346,0.6702190998811027,0.6618533117093665,True
c0_L128_rep000.npz,1089588965,0.5,128,1,crop64,0:64,1,64,0.493896484375,0.6786902940592372,0.6810089055879008,0.6763716825305736,True
c0_L128_rep000.npz,1089588965,0.5,128,1,crop64,64:0,1,64,0.508056640625,0.6651735500568572,0.6621072818306971,0.6682398182830172,True
c0_L128_rep000.npz,1089588965,0.5,128,1,crop64,64:64,1,64,0.498779296875,0.6582957782441737,0.6671069645321199,0.6494845919562275,True
c0_L128_rep000.npz,1089588965,0.5,128,1,crop32,0:0,1,32,0.505859375,0.6800410545497841,0.7291513813170073,0.630930727782561,True
c0_L128_rep000.npz,1089588965,0.5,128,1,crop32,0:96,1,32,0.4912109375,0.7097433894953877,0.6925722644175045,0.7269145145732708,True
c0_L128_rep000.npz,1089588965,0.5,128,1,crop32,96:0,1,32,0.4794921875,0.6727270275874631,0.6955123775728099,0.6499416776021163,True
c0_L128_rep000.npz,1089588965,0.5,128,1,crop32,96:96,1,32,0.5048828125,0.6638715944749582,0.668271231458999,0.6594719574909176,True
c0_L128_rep000.npz,1089588965,0.5,128,2,full,full,1,128,0.5,0.7111402821316615,0.7215909090909091,0.7006896551724138,True
c0_L128_rep000.npz,1089588965,0.5,128,2,bin2,full,2,128,0.63134765625,1.0591694856851248,1.0549222102751232,1.0634167610951264,True
c0_L128_rep000.npz,1089588965,0.5,128,2,bin4,full,4,128,0.5673828125,1.9275692983474244,1.9465332785885006,1.9086053181063483,True
c0_L128_rep000.npz,1089588965,0.5,128,2,blur1,full,1,128,0.50115966796875,1.2096540872500066,1.1994361067835173,1.2198720677164958,True
c0_L128_rep000.npz,1089588965,0.5,128,2,blur2,full,1,128,0.495361328125,2.24960777669283,2.2360382156403436,2.2631773377453164,True
c0_L128_rep000.npz,1089588965,0.5,128,2,blur1_threshold_minus02,full,1,128,0.65966796875,1.1908017937660702,1.1858051469515656,1.1957984405805746,True
c0_L128_rep000.npz,1089588965,0.5,128,2,blur1_threshold_plus02,full,1,128,0.34124755859375,1.198292233911795,1.2046757956400629,1.191908672183527,True
c0_L128_rep000.npz,1089588965,0.5,128,2,crop96,0:0,1,96,0.5005425347222222,0.7061610635117639,0.7127221032756424,0.6996000237478852,True
c0_L128_rep000.npz,1089588965,0.5,128,2,crop96,0:32,1,96,0.4985894097222222,0.7148449086214472,0.7277251260502073,0.701964691192687,True
c0_L128_rep000.npz,1089588965,0.5,128,2,crop96,32:0,1,96,0.5027126736111112,0.7040218142986384,0.7071722140253769,0.7008714145718999,True
c0_L128_rep000.npz,1089588965,0.5,128,2,crop96,32:32,1,96,0.5049913194444444,0.7088252778643136,0.714890988187747,0.7027595675408802,True
c0_L128_rep000.npz,1089588965,0.5,128,2,crop64,0:0,1,64,0.4990234375,0.7059094620739382,0.7098680415561639,0.7019508825917126,True
c0_L128_rep000.npz,1089588965,0.5,128,2,crop64,0:64,1,64,0.494140625,0.7265530927400754,0.7493541491650408,0.70375203631511,True
c0_L128_rep000.npz,1089588965,0.5,128,2,crop64,64:0,1,64,0.508544921875,0.7064245785498522,0.7101682426038419,0.7026809144958623,True
c0_L128_rep000.npz,1089588965,0.5,128,2,crop64,64:64,1,64,0.498291015625,0.7034116930282485,0.7164143812553392,0.6904090048011577,True
c0_L128_rep000.npz,1089588965,0.5,128,2,crop32,0:0,1,32,0.5068359375,0.7114395564828793,0.7581590597681594,0.6647200531975992,True
c0_L128_rep000.npz,1089588965,0.5,128,2,crop32,0:96,1,32,0.4921875,0.7550821405723518,0.7897536394176932,0.7204106417270105,True
c0_L128_rep000.npz,1089588965,0.5,128,2,crop32,96:0,1,32,0.4814453125,0.7115015713208037,0.7481971958346503,0.6748059468069573,True
c0_L128_rep000.npz,1089588965,0.5,128,2,crop32,96:96,1,32,0.5048828125,0.7157459369084863,0.7043158375022407,0.7271760363147319,True
