c,L,n,condition,t_min,t_max,points,used_t_min,used_t_max,alpha,low,high,delta_vs_full,delta_low,delta_high,unresolved_fraction,matched_last_time,matched_last_length_ratio
0.15,32,8,full,100,20000,28,105,19557,0.21747840527480528,0.20330773948894676,0.23790505143578058,0.0,0.0,0.0,0.0,19557,1.0
0.15,32,8,full,1000,20000,16,1069,19557,0.26671977622149806,0.2305616135224477,0.30268135727724677,0.0,0.0,0.0,0.0,19557,1.0
0.15,32,8,full,1000,200000,28,1069,200000,0.24620507532773458,0.21747782179015668,0.2745294719163121,0.0,0.0,0.0,0.0,200000,1.0
0.15,32,8,bin2,100,20000,28,105,19557,0.18760178162426702,0.17246466753285195,0.20722697076922317,-0.029876623650538253,-0.034468833974801584,-0.025727562813107355,0.0,19557,1.1554256399511353
0.15,32,8,bin2,1000,20000,16,1069,19557,0.2454022460128396,0.21123698203289468,0.2797535727534437,-0.021317530208658453,-0.03525203134889779,-0.008839910123653863,0.0,19557,1.1554256399511353
0.15,32,8,bin2,1000,200000,28,1069,200000,0.22579280107293453,0.19717367425972748,0.253245396541955,-0.02041227425480005,-0.025811175460226685,-0.015012330505155727,0.0,200000,1.0698061144246418
0.15,32,8,bin4,100,20000,28,105,19557,0.11680843520619746,0.10153289546232533,0.13399379910029685,-0.10066997006860781,-0.11264698253575718,-0.09034040210271728,0.10625,19557,1.1740806649804931
0.15,32,8,bin4,1000,20000,16,1069,19557,0.19609765532621592,0.15705501132450128,0.23943146806503374,-0.07062212089528214,-0.09400500007547591,-0.04525771579015334,0.10625,19557,1.1740806649804931
0.15,32,8,bin4,1000,200000,28,1069,200000,0.18798461682657225,0.1614366901978985,0.21217859872996442,-0.05822045850116234,-0.06726170688003734,-0.04767594364765315,0.10625,200000,1.0836686996242233
0.15,32,8,blur1,100,20000,28,105,19557,0.2050583596668565,0.18493308145483064,0.2315948757967418,-0.012420045607948765,-0.022760875550457953,-0.00216441996210176,0.0,19557,1.095095909206447
0.15,32,8,blur1,1000,20000,16,1069,19557,0.2506460274667826,0.21640784812345332,0.2815634888141417,-0.016073748754715456,-0.023109197604817142,-0.008623469043077793,0.0,19557,1.095095909206447
0.15,32,8,blur1,1000,200000,28,1069,200000,0.23109516023430043,0.20603354381795708,0.2562539108796309,-0.01510991509343415,-0.018764313022768764,-0.010681705887544154,0.0,200000,1.0742797016047156
0.15,32,8,blur2,100,20000,24,187,19557,0.2453003278198355,0.19874703760282786,0.30687124569903995,0.017701633377046222,-0.01830495329664156,0.06344648567519727,0.23541666666666666,19557,1.141537496399088
0.15,32,8,blur2,1000,20000,16,1069,19557,0.2732034123752472,0.2200120231308584,0.3222819537842864,0.006483636153749139,-0.02361831857455772,0.03600795687400734,0.23541666666666666,19557,1.141537496399088
0.15,32,8,blur2,1000,200000,28,1069,200000,0.22934307625037167,0.20143631397601927,0.2564271144338775,-0.01686199907736291,-0.028834849888421176,-0.004969849132335744,0.23541666666666666,200000,1.067573989083545
0.15,32,8,blur1_threshold_minus02,100,20000,28,105,19557,0.19576455052489952,0.1782641021498712,0.2174984084233239,-0.021713854749905753,-0.028644962421725567,-0.015357611690085371,0.0,19557,1.140136436932708
0.15,32,8,blur1_threshold_minus02,1000,20000,16,1069,19557,0.2443288139243333,0.21019836492735783,0.27357782879230624,-0.02239096229716475,-0.03160198099659537,-0.014323631663960772,0.0,19557,1.140136436932708
