c,L,t,n,length,standard_error
0.5,32,1,4,0.6697740546247906,0.008590376009148575
0.5,32,2,4,0.7065151772670863,0.00590345117120283
0.5,32,3,4,0.7391803789874003,0.007758925884192065
0.5,32,4,4,0.7632860784152447,0.006111467586784504
0.5,32,5,4,0.7707652904726846,0.01080062127731774
0.5,32,7,4,0.796067640011686,0.014124960106382728
0.5,32,8,4,0.805752908899418,0.008496724708920938
0.5,32,10,4,0.8353346091273272,0.009918300527248021
0.5,32,13,4,0.8555572311233686,0.01255702432464971
0.5,32,15,4,0.8777323676751009,0.013266877028416143
0.5,32,19,4,0.9036894681473081,0.013408208290699377
0.5,32,24,4,0.926792898991724,0.012547928133487336
0.5,32,29,4,0.971629431175107,0.01899750476417507
0.5,32,36,4,0.9637599637627913,0.0192702448482944
0.5,32,44,4,1.0025244455998483,0.01704066019362637
0.5,32,55,4,1.0354574589476275,0.009083169817189894
0.5,32,68,4,1.0576084333520062,0.017497833772973856
0.5,32,84,4,1.0946038588589324,0.02813402371758994
0.5,32,103,4,1.1238855899126206,0.023723506576375186
0.5,32,127,4,1.2060509904514927,0.022027895210082034
0.5,32,157,4,1.231147889116102,0.005456164465324888
0.5,32,194,4,1.2832491867643672,0.01894139160257517
0.5,32,239,4,1.345161642884072,0.019223903679955204
0.5,32,296,4,1.3864243402334147,0.04789260401632274
0.5,32,365,4,1.4485347531012134,0.05995861340229614
0.5,32,451,4,1.5803870639873754,0.03895816307557182
0.5,32,556,4,1.552759323573685,0.05632114202082841
0.5,32,687,4,1.5914875787324698,0.05922331625039646
0.5,32,848,4,1.6447878521717323,0.041721194721364444
0.5,32,1047,4,1.7529384227922333,0.03259284499742758
0.5,32,1292,4,1.8218072734542083,0.05031622042374169
0.5,32,1595,4,1.8554302881816005,0.046032965688795446
0.5,32,1970,4,2.036348761521468,0.08618696689810317
0.5,32,2432,4,2.069104544104544,0.0848555942954761
0.5,32,3002,4,2.137352332552038,0.07302321521535836
0.5,32,3706,4,2.234345043015497,0.011390534029767167
0.5,32,4576,4,2.3488430113922063,0.024639603965345366
0.5,32,5649,4,2.5108402240775196,0.05548810794246423
0.5,32,6974,4,2.6295784115533007,0.08033528618028808
0.5,32,8610,4,2.807653825870602,0.05958184910810043
0.5,32,10629,4,2.9502019578556125,0.06850289489344508
0.5,32,13122,4,3.2467341627049078,0.153573496365773
0.5,32,16200,4,3.1512855028144857,0.18771643168513039
0.5,32,20000,4,3.639053803616089,0.15573071061158095
0.5,64,1,4,0.6680046252157963,0.003086621930808266
0.5,64,2,4,0.7083962057223427,0.004777965614952393
0.5,64,3,4,0.740500947503993,0.004327704011750596
0.5,64,4,4,0.7675868749583146,0.00438567520815681
0.5,64,5,4,0.7824944764837426,0.008893206869204105
0.5,64,7,4,0.8075384069122395,0.009326323536829488
0.5,64,8,4,0.8202687828912767,0.004920065503261819
0.5,64,10,4,0.8408854568029529,0.005116817323164485
0.5,64,13,4,0.8674381456205622,0.0077361960445948815
0.5,64,15,4,0.8785406288548185,0.009887871614048558
0.5,64,19,4,0.90428692837043,0.01043249233488642
0.5,64,24,4,0.9358116795398685,0.00845112302616968
0.5,64,29,4,0.9542347408455993,0.015184132375694798
0.5,64,36,4,0.9952602839290087,0.009694887347722416
0.5,64,44,4,1.0174470760918106,0.013102115363908958
0.5,64,55,4,1.0656900432017746,0.01845604342956704
0.5,64,68,4,1.1051176630995607,0.01720197991641392
0.5,64,84,4,1.140047531930597,0.014238948235751357
0.5,64,103,4,1.1900728191082033,0.010818219057658798
0.5,64,127,4,1.2308003754436463,0.011607529146373826
0.5,64,157,4,1.2781534796512646,0.0053623086114025715
0.5,64,194,4,1.3295417189786853,0.01160770586613644
0.5,64,239,4,1.36789332515109,0.010558325936895166
0.5,64,296,4,1.438172878761364,0.007379388443893529
0.5,64,365,4,1.4747955032028748,0.01503447657388165
0.5,64,451,4,1.5261515276642998,0.014091850963490766
0.5,64,556,4,1.5595236273695248,0.01311979295698405
0.5,64,687,4,1.6228234810979338,0.011977549790906863
0.5,64,848,4,1.6898314205505036,0.017295290535723998
0.5,64,1047,4,1.7303974401380868,0.009918134994207314
0.5,64,1292,4,1.8262833551993936,0.02941579390648792
0.5,64,1595,4,1.8938892053082748,0.03341757944190877
0.5,64,1970,4,1.9836943844305985,0.012836752594197854
0.5,64,2432,4,2.112847729707021,0.011726500791908684
0.5,64,3002,4,2.1737473465508153,0.01609014309254001
0.5,64,3706,4,2.3379692898288553,0.02533501687748489
0.5,64,4576,4,2.440432729537661,0.02442611089850507
0.5,64,5649,4,2.6157963085322056,0.04574043440324583
0.5,64,6974,4,2.6997247021461135,0.05653828616847797
0.5,64,8610,4,2.8355369315155885,0.08808428586306563
0.5,64,10629,4,2.9743259981263446,0.11431936422572961
0.5,64,13122,4,3.201786096902837,0.10605609228716159
0.5,64,16200,4,3.391238264639482,0.05987600192680095
0.5,64,20000,4,3.454279849191204,0.04996738277635191
0.5,96,1,4,0.6692433044584918,0.0014969177079036092
0.5,96,2,4,0.7119785834368828,0.0023766543634171646
0.5,96,3,4,0.7393423100130291,0.003557882141137823
0.5,96,4,4,0.7614404540853137,0.0032819490543967962
0.5,96,5,4,0.7803931693481576,0.0050883760755518325
0.5,96,7,4,0.813680597364485,0.005944716335603988
0.5,96,8,4,0.8282497281462298,0.006884590883548643
0.5,96,10,4,0.8495435975248161,0.004399557302989112
0.5,96,13,4,0.8724803369193254,0.004558029749341721
0.5,96,15,4,0.8805909393383324,0.004015414500487132
0.5,96,19,4,0.9099942840666778,0.004990475058844233
0.5,96,24,4,0.9378767107457884,0.006232484070143723
0.5,96,29,4,0.9631031284887781,0.0049559057852787474
0.5,96,36,4,0.9855477447779364,0.004345715505075744
0.5,96,44,4,1.0096302910023562,0.007179713382518538
0.5,96,55,4,1.0552419292884578,0.01135584738076474
0.5,96,68,4,1.0996250647662151,0.00914723956240403
0.5,96,84,4,1.1372933692911191,0.0025269717729988215
0.5,96,103,4,1.1772970654959172,0.0075273741589517605
0.5,96,127,4,1.2137061640425344,0.007500297973145927
0.5,96,157,4,1.2512417234686501,0.008226315914646395
0.5,96,194,4,1.2894668699721032,0.0025878990693046105
0.5,96,239,4,1.328676696911443,0.007124085963182857
0.5,96,296,4,1.3833311282560126,0.008824478384125561
0.5,96,365,4,1.4390835704760536,0.011874918788272256
0.5,96,451,4,1.4877192395395349,0.011049211615239314
0.5,96,556,4,1.5263097449736511,0.010237031483974852
0.5,96,687,4,1.597635482925266,0.009843206211897026
0.5,96,848,4,1.6559737257928333,0.01247119359803952
0.5,96,1047,4,1.7266134280818197,0.012156382202386391
0.5,96,1292,4,1.7738932795178917,0.020720744343031484
0.5,96,1595,4,1.8649509808573463,0.03382211082954529
0.5,96,1970,4,1.9619020312157227,0.02269626389858922
0.5,96,2432,4,2.046220377814771,0.01812813495814215
0.5,96,3002,4,2.164534120697669,0.028398559258570776
0.5,96,3706,4,2.276944165700353,0.0346423752995681
0.5,96,4576,4,2.374962246759466,0.047959779350156835
0.5,96,5649,4,2.501237168528659,0.04305622657540188
0.5,96,6974,4,2.6289378641203496,0.021930542711817852
0.5,96,8610,4,2.815250697627248,0.041731928082684853
0.5,96,10629,4,3.005710003999872,0.014175246289913885
0.5,96,13122,4,3.1563519201500303,0.029976705574490503
0.5,96,16200,4,3.2737327848289546,0.022229513459913065
0.5,96,20000,4,3.4602937684042163,0.027830335025347926
0.15,32,1,4,0.5969554715926195,0.0061818791091477815
0.15,32,2,4,0.6305421137646994,0.005667425897875533
0.15,32,3,4,0.6335610744238008,0.004155153597703746
0.15,32,4,4,0.6473868822332614,0.0034631396299524097
0.15,32,5,4,0.6529356792755638,0.002047933260921985
0.15,32,7,4,0.6890720088981586,0.0070697369233456925
0.15,32,8,4,0.6921130694419861,0.007910200011157534
0.15,32,10,4,0.7023438383017151,0.01458427229838447
0.15,32,13,4,0.7319628837227056,0.006262505008079007
0.15,32,15,4,0.7499254595822025,0.005077562985964417
0.15,32,19,4,0.7749313404331009,0.01615448779810483
0.15,32,24,4,0.7993981685222811,0.01462993060863838
0.15,32,29,4,0.8135412507803774,0.017940682753632062
0.15,32,36,4,0.822798114186168,0.014437697152216017
0.15,32,44,4,0.8251047064072475,0.0218513763832952
0.15,32,55,4,0.8522372103259701,0.015127899850365108
0.15,32,68,4,0.8921413231112978,0.021075535341247936
