c,L,n,t_min,t_max,n_points,alpha,bootstrap_low,bootstrap_high,max_length_over_L
0.5,32,4,2,20000,43,0.17445132328933086,0.1701790909544378,0.17828720394456873,0.11372043136300278
0.5,32,4,100,20000,26,0.20799904121113943,0.19608251692667805,0.21985633586912898,0.11372043136300278
0.5,32,4,1000,20000,15,0.2394601212248701,0.2191518224397252,0.26158683021050694,0.11372043136300278
0.5,64,4,2,20000,43,0.17476051894274997,0.17070050318086044,0.17990599032599194,0.053973122643612564
0.5,64,4,100,20000,26,0.2047856151138453,0.1991138161606271,0.2146235871870739,0.053973122643612564
0.5,64,4,1000,20000,15,0.24111834204764226,0.2253989647632946,0.268131030531128,0.053973122643612564
0.5,96,4,2,20000,43,0.17175279269711152,0.16849334383066383,0.17461034035036807,0.03604472675421059
0.5,96,4,100,20000,26,0.20639131370458136,0.20247405230186305,0.20873571298107343,0.03604472675421059
0.5,96,4,1000,20000,15,0.24270941802939192,0.23470499447045898,0.25081585743066803,0.03604472675421059
0.15,32,4,2,20000,43,0.18348118639340083,0.1608299084913482,0.20205996834518317,0.1003242345508316
0.15,32,4,100,20000,26,0.2371901390567267,0.1760414009493962,0.2888073024869067,0.1003242345508316
0.15,32,4,1000,20000,15,0.26585947546169403,0.157247608674498,0.35243545269633525,0.1003242345508316
0.15,64,4,2,20000,43,0.17068099658260247,0.16718454226111185,0.17324437171219806,0.04333983923621289
0.15,64,4,100,20000,26,0.21213557801298455,0.19630097503210062,0.2243583056791017,0.04333983923621289
0.15,64,4,1000,20000,15,0.2090956152715855,0.18419902023445014,0.2335763607166588,0.04333983923621289
0.15,96,4,2,20000,43,0.16991233988627433,0.1687990602209165,0.17114320432238045,0.029431831786705127
0.15,96,4,100,20000,26,0.2128368413443577,0.20970441657831096,0.215554995080197,0.029431831786705127
0.15,96,4,1000,20000,15,0.22858907391741648,0.20827923378238006,0.24754165278788529,0.029431831786705127
