file,c,L,t,threshold_05,positive_lobe,spectral_moment,inverse_interface_proxy
c0_L32_rep000.npz,0.5,32,1,0.6869244935543277,0.7901702425373134,3.28031046210384,2.745308310991957
c0_L32_rep000.npz,0.5,32,2,0.713762037899969,0.8071876236155063,3.36974056776419,2.852367688022284
c0_L32_rep000.npz,0.5,32,3,0.7314524555903866,0.8431822311046512,3.4282897292995536,2.9257142857142857
c0_L32_rep000.npz,0.5,32,4,0.7620127569099929,0.8605813419117647,3.533862680164054,3.0476190476190474
c0_L32_rep000.npz,0.5,32,5,0.7604541287638389,0.8567608173076923,3.5390851169044044,3.0385756676557865
c0_L32_rep000.npz,0.5,32,7,0.7902439024390244,0.9040690104166667,3.621742165936375,3.1604938271604937
c0_L32_rep000.npz,0.5,32,8,0.8106461439794773,0.9261318108974359,3.684188151179996,3.240506329113924
c0_L32_rep000.npz,0.5,32,10,0.8340974698590593,0.982411541005291,3.759081985978028,3.3355048859934855
c0_L32_rep000.npz,0.5,32,13,0.8745452849547617,0.9836992575654924,3.8919436856580076,3.4948805460750854
c0_L32_rep000.npz,0.5,32,15,0.8952800195646857,1.0249171401515151,3.9677209612374535,3.5804195804195804
c0_L32_rep000.npz,0.5,32,19,0.9412273587456069,1.08317868504772,4.097901862337946,3.764705882352941
c0_L32_rep000.npz,0.5,32,24,0.956555685684011,1.086092159219457,4.1582243758638775,3.8208955223880596
c0_L32_rep000.npz,0.5,32,29,1.0215754243366004,1.140341320877555,4.3231274708789105,4.063492063492063
c0_L32_rep000.npz,0.5,32,36,1.0042124542124542,1.1596367251589417,4.275842941860119,4.0
c0_L32_rep000.npz,0.5,32,44,1.0388193202146692,1.171703473413379,4.328825427134611,4.096
c0_L32_rep000.npz,0.5,32,55,1.0507533197139938,1.1756791095344385,4.358354642713869,4.145748987854251
c0_L32_rep000.npz,0.5,32,68,1.0745938921377518,1.2042824074074074,4.429748898915361,4.231404958677686
c0_L32_rep000.npz,0.5,32,84,1.164241622574956,1.285968739499328,4.594232964157774,4.471615720524017
c0_L32_rep000.npz,0.5,32,103,1.1727504244482172,1.2940527811004785,4.616284106580701,4.511013215859031
c0_L32_rep000.npz,0.5,32,127,1.241025641025641,1.3440095656318083,4.76265146649282,4.697247706422019
c0_L32_rep000.npz,0.5,32,157,1.2367216117216118,1.3366804127984087,4.758936646632032,4.697247706422019
c0_L32_rep000.npz,0.5,32,194,1.3337254901960784,1.4217002467105262,5.014231148652388,5.044334975369458
c0_L32_rep000.npz,0.5,32,239,1.3806628914057293,1.4955464304765291,5.125996997343264,5.197969543147208
c0_L32_rep000.npz,0.5,32,296,1.3566602316602316,1.4639029029519333,5.081605625330702,5.12
c0_L32_rep000.npz,0.5,32,365,1.4269203413940257,1.5438458676739928,5.213384565042309,5.333333333333333
c0_L32_rep000.npz,0.5,32,451,1.5148496240601501,1.6306131565824469,5.4377044441374744,5.657458563535911
c0_L32_rep000.npz,0.5,32,556,1.557375421878102,1.7020903087797619,5.512456623356154,5.785310734463277
c0_L32_rep000.npz,0.5,32,687,1.4733333333333334,1.6490885416666665,5.301983040587574,5.361256544502618
c0_L32_rep000.npz,0.5,32,848,1.5932835820895521,1.706551188973064,5.674385641371887,5.953488372093023
c0_L32_rep000.npz,0.5,32,1047,1.663333333333333,1.8263408954326923,5.740414796687234,6.059171597633136
c0_L32_rep000.npz,0.5,32,1292,1.8178368121442123,1.9520476810515874,6.197339537720046,6.826666666666667
c0_L32_rep000.npz,0.5,32,1595,1.8307692307692307,2.2140429687500003,6.052423916109281,6.4
c0_L32_rep000.npz,0.5,32,1970,2.2831661092530657,nan,6.96897540994411,8.062992125984252
c0_L32_rep000.npz,0.5,32,2432,2.2756410256410255,nan,6.952604485758581,7.937984496124031
c0_L32_rep000.npz,0.5,32,3002,2.2400379506641372,nan,6.614300568184176,7.26241134751773
c0_L32_rep000.npz,0.5,32,3706,2.2057291666666665,2.5728747351694916,6.664662447682919,7.420289855072464
