c,L,n,estimator,t_min,t_max,points,used_t_min,used_t_max,alpha,low,high,delta_vs_threshold,delta_low,delta_high,unresolved_values
0.15,32,4,threshold_05,100,20000,25,103,20000,0.23275438922715547,0.1742291357182461,0.28257935521151856,0.0,0.0,0.0,0
0.15,32,4,threshold_05,1000,20000,14,1047,20000,0.2568267524823103,0.15083628950419892,0.34188949039244887,0.0,0.0,0.0,0
0.15,32,4,positive_lobe,100,20000,25,103,20000,0.21663432132584426,0.157549609035994,0.26610609092850607,-0.016120067901311208,-0.021086538421395545,-0.011411919719829022,1
0.15,32,4,positive_lobe,1000,20000,14,1047,20000,0.2416480379457228,0.14036724159218736,0.32350190221832037,-0.015178714536587506,-0.02145388613569582,-0.010450509227764387,1
0.15,32,4,spectral_moment,100,20000,25,103,20000,0.132140525822335,0.10084010178770085,0.16084637674330193,-0.10061386340482048,-0.12329062856863163,-0.07338903393054526,0
0.15,32,4,spectral_moment,1000,20000,14,1047,20000,0.13829640856984118,0.08609771286756555,0.18430984882307763,-0.11853034391246911,-0.16679769673381817,-0.06473857663663336,0
0.15,32,4,inverse_interface_proxy,100,20000,25,103,20000,0.17256712041853794,0.13376143164803161,0.20785539385510024,-0.06018726880861752,-0.08060431337562696,-0.040467704070214494,0
0.15,32,4,inverse_interface_proxy,1000,20000,14,1047,20000,0.17142494075854192,0.10891340561600195,0.22558604032432997,-0.08540181172376837,-0.132951076803393,-0.04192288388819697,0
0.15,64,4,threshold_05,100,20000,26,103,20000,0.21213557801298455,0.19630097503210062,0.22399369254812848,0.0,0.0,0.0,0
0.15,64,4,threshold_05,1000,20000,15,1047,20000,0.2090956152715855,0.17666599787864687,0.23357636071665877,0.0,0.0,0.0,0
0.15,64,4,positive_lobe,100,20000,26,103,20000,0.2012376373085564,0.18649559197153423,0.21317257331020006,-0.01089794070442815,-0.01245604307089529,-0.009423531683450476,0
0.15,64,4,positive_lobe,1000,20000,15,1047,20000,0.20584558203567177,0.17004982275583833,0.22884618605491608,-0.0032500332359137185,-0.008976424041349462,0.002978807053221788,0
0.15,64,4,spectral_moment,100,20000,26,103,20000,0.12439858612157967,0.11402460291339514,0.1315750249148811,-0.08773699189140488,-0.09240090144669398,-0.08227637211870548,0
0.15,64,4,spectral_moment,1000,20000,15,1047,20000,0.12589018223031329,0.109536563978975,0.1396649056032449,-0.0832054330412722,-0.09391145511341388,-0.06712943389967208,0
0.15,64,4,inverse_interface_proxy,100,20000,26,103,20000,0.16296777866711928,0.14949491765132775,0.17125776165915826,-0.049167799345865265,-0.053100544019943435,-0.043505227194953755,0
0.15,64,4,inverse_interface_proxy,1000,20000,15,1047,20000,0.15668372453637736,0.1404254250816566,0.17242145833419706,-0.05241189073520813,-0.06115490238246171,-0.0362405727969905,0
0.15,96,4,threshold_05,100,20000,26,103,20000,0.2128368413443577,0.20917645859007128,0.215554995080197,0.0,0.0,0.0,0
0.15,96,4,threshold_05,1000,20000,15,1047,20000,0.22858907391741648,0.209096996134747,0.24600099499448544,0.0,0.0,0.0,0
0.15,96,4,positive_lobe,100,20000,26,103,20000,0.20082765598312236,0.19641109331219123,0.2036925959987253,-0.012009185361235353,-0.013102883388623532,-0.010862012809883581,0
0.15,96,4,positive_lobe,1000,20000,15,1047,20000,0.22166513876980465,0.20019038662004246,0.24033130463571975,-0.006923935147611832,-0.01084598906711115,-0.004438605051528875,0
0.15,96,4,spectral_moment,100,20000,26,103,20000,0.12505867825519282,0.12223590698509008,0.12655788307942534,-0.08777816308916489,-0.08941813357136888,-0.08663531909171901,0
0.15,96,4,spectral_moment,1000,20000,15,1047,20000,0.13748694065334263,0.12478889371972096,0.14795169697378513,-0.09110213326407385,-0.09742329606740362,-0.08429091086087427,0
0.15,96,4,inverse_interface_proxy,100,20000,26,103,20000,0.16382532934901656,0.1603460525049961,0.1656712532957263,-0.04901151199534115,-0.05045588296587267,-0.04804899351314143,0
0.15,96,4,inverse_interface_proxy,1000,20000,15,1047,20000,0.17377045183718698,0.1579657825658102,0.18710734189663114,-0.0548186220802295,-0.058212294627116086,-0.051131213568936795,0
0.5,32,4,threshold_05,100,20000,15,103,3706,0.18267748259225253,0.17233983987128537,0.19422889205479532,0.0,0.0,0.0,0
0.5,32,4,threshold_05,1000,20000,4,1047,3706,nan,nan,nan,nan,nan,nan,0
0.5,32,4,positive_lobe,100,20000,15,103,3706,0.18106533271527023,0.1744826348003752,0.18470710182536096,-0.0016121498769822995,-0.01206934138471083,0.01132007276406935,16
0.5,32,4,positive_lobe,1000,20000,4,1047,3706,nan,nan,nan,nan,nan,nan,16
0.5,32,4,spectral_moment,100,20000,15,103,3706,0.11092978277153864,0.10442353627846085,0.11651835767631598,-0.07174769982071388,-0.08103932482522166,-0.06637673044165188,0
