t_sweeps,domain_size,domain_size_err,entropy_production_rate,entropy_production_rate_err
1.00000000,0.88490473,0.00183885,0.29531860,0.00250397
2.00000000,1.15181738,0.00566841,0.14145915,0.00104899
3.00000000,1.41294419,0.00562649,0.08623250,0.00164803
4.00000000,1.63168253,0.00603999,0.05994670,0.00112541
5.00000000,1.80596509,0.00630218,0.04072062,0.00082782
7.00000000,2.14906076,0.01153041,0.02890523,0.00082880
10.00000000,2.60720759,0.01077505,0.01779514,0.00054636
13.00000000,2.96906165,0.02584299,0.01121012,0.00047865
17.00000000,3.38798579,0.03226297,0.00701904,0.00033051
22.00000000,3.85533143,0.03439875,0.00510457,0.00036669
29.00000000,4.41158929,0.04440081,0.00313604,0.00023092
39.00000000,5.06773169,0.06077808,0.00203959,0.00013357
51.00000000,5.74802445,0.10579544,0.00141568,0.00014657
68.00000000,6.57394522,0.13906261,0.00088202,0.00010484
90.00000000,7.45043921,0.15761704,0.00061821,0.00007512
120.00000000,8.51298507,0.21833782,0.00037672,0.00006443
159.00000000,9.72337784,0.29456436,0.00029605,0.00002166
210.00000000,11.17111765,0.37713552,0.00020963,0.00003117
279.00000000,12.77436374,0.52613314,0.00010689,0.00002397
369.00000000,14.68270823,0.62598448,0.00010885,0.00002023
489.00000000,16.91389532,0.69489115,0.00006612,0.00001229
649.00000000,20.41919578,1.59614729,0.00002448,0.00000738
860.00000000,22.23451154,0.84225687,0.00003968,0.00000788
1139.00000000,26.42745259,1.77688258,0.00001473,0.00000685
1509.00000000,29.83047388,2.21323530,0.00001644,0.00000381
2000.00000000,28.21267707,1.55129640,0.00001156,0.00000303
